Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Journey_Day,Journey_Month,Journey_Weekday,Dep_Hour
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,0,No info,3897,170,24,3,Sunday,22
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2,No info,7662,445,1,5,Wednesday,5
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2,No info,13882,1140,9,6,Sunday,9
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1,No info,6218,325,12,5,Sunday,18
IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1,No info,13302,285,1,3,Friday,16
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,No info,3873,145,24,6,Monday,9
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1,In-flight meal not included,11087,930,12,3,Tuesday,18
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1,No info,22270,1265,1,3,Friday,8
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1,In-flight meal not included,11087,1530,12,3,Tuesday,8
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1,No info,8625,470,27,5,Monday,11
Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1,No info,8907,795,1,6,Saturday,9
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,0,No info,4174,155,18,4,Thursday,20
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,0,No info,4667,135,24,6,Monday,11
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1,In-flight meal not included,9663,730,9,5,Thursday,21
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,0,No info,4804,155,24,4,Wednesday,17
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2,No info,14011,1595,3,3,Sunday,16
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,5830,270,15,4,Monday,8
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1,In-flight meal not included,10262,1355,12,6,Wednesday,14
Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2,No info,13381,1380,12,6,Wednesday,20
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1,In-flight meal not included,12898,1235,27,5,Monday,16
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1,No info,19495,310,6,3,Wednesday,14
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1,No info,6955,920,21,3,Thursday,22
IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943,170,3,4,Wednesday,4
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,0,No info,4823,175,1,5,Wednesday,18
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1,In-flight meal not included,7757,800,6,5,Monday,18
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2,No info,13292,910,9,6,Sunday,21
IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1,No info,8238,345,1,6,Saturday,21
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1,No info,7682,355,15,5,Wednesday,7
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,0,No info,4668,170,18,6,Tuesday,9
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687,135,15,6,Saturday,7
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687,135,18,6,Tuesday,7
Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2,No info,13227,805,1,5,Wednesday,9
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,No info,4423,170,6,4,Saturday,4
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2,In-flight meal not included,10919,1320,15,6,Saturday,14
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1,In-flight meal not included,12373,330,18,5,Saturday,7
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,5894,625,27,6,Thursday,10
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1,No info,4649,315,21,5,Tuesday,15
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,0,No info,6245,150,18,5,Saturday,14
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1,No info,19225,375,6,3,Wednesday,7
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1,No info,14924,715,3,6,Monday,7
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1,No info,9646,665,21,5,Tuesday,7
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1,No info,8714,510,15,3,Friday,6
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1,In-flight meal not included,12373,1325,18,5,Saturday,20
Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,0,No info,3383,165,6,5,Monday,11
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1,No info,13062,720,21,3,Thursday,9
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,0,No check-in baggage included,3527,170,24,3,Sunday,5
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943,170,27,5,Monday,4
Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,0,No info,4667,135,3,5,Friday,11
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1,No info,6117,965,15,5,Wednesday,19
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2,In-flight meal not included,11150,1195,27,6,Thursday,23
Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,0,In-flight meal not included,7202,195,9,3,Saturday,11
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1,No info,12121,1520,1,5,Wednesday,9
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,0,No info,4377,170,24,3,Sunday,22
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,0,No info,3943,180,18,6,Tuesday,21
Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,0,No info,4483,170,3,4,Wednesday,23
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1,No info,14231,975,24,3,Sunday,19
Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2,No info,17345,905,1,3,Friday,8
Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,No info,7414,135,6,3,Wednesday,7
Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1,No info,8073,390,6,5,Monday,19
Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1,No info,12395,1505,6,3,Wednesday,15
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1,No info,8366,745,6,6,Thursday,9
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1,No info,5117,1640,3,4,Wednesday,6
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1,No info,12524,615,3,6,Monday,8
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1,No info,7191,630,15,5,Wednesday,15
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687,135,24,5,Friday,7
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,5894,625,24,6,Monday,10
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,0,No info,5403,170,24,4,Wednesday,9
Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,No info,3625,90,6,5,Monday,13
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,No info,10861,800,21,5,Tuesday,5
IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,0,No info,6297,135,12,3,Tuesday,13
Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,0,No info,5678,85,1,6,Saturday,7
Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1,In-flight meal not included,9134,1590,9,3,Saturday,5
